;;"Проект ""Многоквартирный жилой дом по ул. Седова в г. Иркутске""";;;;;;;;;;;;;;;
;;Исполнение графика тендеров (закупка услуг);;;;;;;;;;;;;;;
;;отчетная дата:;;;31.05.2026;;;;;;;;;;;;
;ID Код;Этап работ;ГПР;Отставание;Начало тендера;;;Дата заключения договора;;;Стоимость (руб.);;;Контрагент;Договор;Статус;Комментарий к отклонениям
№ статей;;;;;План;Факт;Откл.;План;Факт;Откл.;План;Факт;Откл.;;;;
;;;;;;;;;;;;;;;;;
;2.04.;Подготовка территории строительства;;;;;;;;;5 357 508,00  ;5 930 054,04  ;572 546,04  ;;;;Доп работы по протяжке 2 линии электроснабжения
76;2.05.09.3.;Отделка чистовая;;;;;;;;;;;;;;;
77;2.05.09.4.;Отделка паркинга;01.06.2027;01.06.2027;13.03.2027;;;02.05.2027;;;;;;;;;
78;2.05.09.5.;Мебель,оборудование и инвентарь;;;;;;;;;;;;;;;
79;2.05.09.9.;Прочие расходы на отделку объектов;;;;;;;;;;;;;;;
;2.05.10.;Оборудование, двери и окна;01.09.2027;01.09.2027;13.06.2027;;;02.08.2027;;;;;;;;;
80;2.05.10.1.;Монтаж оконных блоков;;;;;;;;;;;;;;;
81;2.05.10.2.;Монтаж витражей;;;;;;;;;;;;;;;
82;2.05.10.3.;Установка дверей;01.09.2027;01.09.2027;13.06.2027;;;02.08.2027;;;;;;;;;
83;2.05.10.4.;Монтаж лифтов;;;;;;;;;;;;;;;
84;2.05.10.5.;Монтаж подъемников для МГН;;;;;;;;;;;;;;;
85;2.05.10.6.;Монтаж ограждений и конструкций;;;;;;;;;;;;;;;
86;2.05.10.9.;Прочее оборудование дома;;;;;;;;;;;;;;;
;2.05.11.;Инженерные системы дома;01.08.2026;01.08.2026;13.05.2026;;;02.07.2026;;;;;;;;;
87;2.05.11.1.;Электроснабжение;01.08.2026;01.08.2026;13.05.2026;;;02.07.2026;;;;;;;;;
88;2.05.11.2.;Вентиляция;01.08.2026;01.08.2026;13.05.2026;;;02.07.2026;;;;;;;;;
89;2.05.11.3.;Отопление;;;;;;;;;;;;;;;
90;2.05.11.4.;Тепловой пункт;;;;;;;;;;;;;;;
91;2.05.11.5.;Водоснабжение и канализация;;;;;;;;;;;;;;;
92;2.05.11.6.;Насосная станция;;;;;;;;;;;;;;;
93;2.05.11.8.;Автоматическая установка пожаротушения (АУПТ);01.08.2026;01.08.2026;13.05.2026;;;02.07.2026;;;;;;;;;
94;2.05.11.9.;Прочие инженерные системы;;;;;;;;;;;;;;;
;2.05.12.;Слаботочные сети;01.08.2026;01.08.2026;13.05.2026;;;02.07.2026;;;;;;;;;
95;2.05.12.1.;Пожарная сигнализация;01.08.2026;01.08.2026;13.05.2026;;;02.07.2026;;;;;;;;;
96;2.05.12.2.;Системы связи, радио и ТВ;01.08.2026;01.08.2026;13.05.2026;;;02.07.2026;;;;;;;;;
97;2.05.12.4.;Система экстренной связи и диспетчеризации лифтов;01.08.2026;01.08.2026;13.05.2026;;;02.07.2026;;;;;;;;;
98;2.05.12.5.;АСКУЭ;01.08.2026;01.08.2026;13.05.2026;;;02.07.2026;;;;;;;;;
99;2.05.12.6.;Система охранного телевидения (видеонаблюдение);01.08.2026;01.08.2026;13.05.2026;;;02.07.2026;;;;;;;;;
100;2.05.12.7.;Домофония и система контроля доступа;01.08.2026;01.08.2026;13.05.2026;;;02.07.2026;;;;;;;;;
101;2.05.12.9.;Прочие расходы на слаботочные сети;01.08.2026;01.08.2026;13.05.2026;;;02.07.2026;;;;;;;;;
102;2.05.99.;Прочие расходы зданий;;;;;;;;;;;;;;;
;2.06.;Устройство сетей;05.09.2025;05.09.2025;;;;;;-24,00  ;;10 861 930,71  ;0,00  ;;;;
103;2.06.01.;Тепловые сети;05.09.2025;05.09.2025;17.06.2025;;;05.09.2025;05.09.2025;;8 409 980,70  ;8 409 980,70  ;0,00;РЕМОНТ ЭНЕРГОРЕСУРС ООО;190092 от 05.09.2025;;
104;2.06.02.;Сети водопровода и канализации;01.05.2026;01.05.2026;10.02.2026;;;01.04.2026;20.03.2026;-12;1 728 000,00  ;1 728 000,00  ;0,00;Юрьев А.А. ИП ;226357 от 20.03.2026;;
105;2.06.03.;Электрические сети;01.08.2026;01.08.2026;13.05.2026;;;02.07.2026;;;;;;;;;
106;2.06.04.;Наружное освещение;01.07.2027;01.07.2027;12.04.2027;;;01.06.2027;;;;;;;;;
107;2.06.05.;Трансформаторная подстанция;01.08.2026;01.08.2026;13.05.2026;;;02.07.2026;;;;;;;;;
108;2.06.06.;Ливневая канализация;01.05.2026;01.05.2026;10.02.2026;;;01.04.2026;20.03.2026;-12;723 950,01  ;723 950,01  ;0,00;Юрьев А.А. ИП ;226357 от 20.03.2026;;
109;2.06.99.;Прочие расходы на сети (Дренаж);;;;;;;;;;;;;;;
;2.07.;Благоустройство;15.09.2026;15.09.2026;27.06.2026;;;16.08.2026;;0,00  ;41 972 615,00  ;330 000,00  ;;;;;
110;2.07.01.;Планировка площадки с вертикальной планировкой;01.07.2027;01.07.2027;12.04.2027;;;01.06.2027;;;41 972 615,00  ;;;;;;
111;2.07.02.;Устройство тротуаров и проездов из асфальта;01.07.2027;01.07.2027;12.04.2027;;;01.06.2027;;;;;;;;;
112;2.07.03.;Устройство покрытий из насыпных материалов (кроме чернозема);01.07.2027;01.07.2027;12.04.2027;;;01.06.2027;;;;;;;;;
113;2.07.04.;Устройство резинопола и пр. покрытий;01.07.2027;01.07.2027;12.04.2027;;;01.06.2027;;;;;;;;;
114;2.07.05.;Устройство газона и озеленение;01.07.2027;01.07.2027;12.04.2027;;;01.06.2027;;;;;;;;;
115;2.07.06.;Устройство МАФов;01.07.2027;01.07.2027;12.04.2027;;;01.06.2027;;;;;;;;;
116;2.07.07.;Устройство подпорных стенок;15.09.2026;15.09.2026;27.06.2026;;;16.08.2026;;;;;;;;;
117;2.07.08.;Освещение;01.07.2027;01.07.2027;12.04.2027;;;01.06.2027;;;;;;;;;
118;2.07.02.;Восстановление дорожного покрытия после устройства 1го этапа ТС;;;;;;;15.05.2026;;;330 000,00  ;;Аракелян К.Л. ИП ;238085 от 15.05.2026;;
